model_id,checkpoint_stage,kd_steps,benchmark,metric,value,unit,numerator,denominator,sample_count,repetition,evaluation_contract_id,row_selection_identity_sha256,row_manifest_sha256,evaluator_id,architecture_id,ffn_width,parameter_reduction_percent,image_count,concurrency,request_count,requested_input_tokens,requested_output_tokens,aggregation
qwen3p5_4b_teacher,teacher,,model_geometry,parameter_count,5295564288,parameters,,,,,,,,,,,,,,,,,
qwen3p5_4b_ffn7168,materialized_pre_kd,0,model_geometry,parameter_count,4792247808,parameters,,,,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,model_geometry,parameter_count,4540589568,parameters,,,,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,model_geometry,parameter_count,4288931328,parameters,,,,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_ffn7168,materialized_pre_kd,0,puzzletron_loss_screen,lm_loss,0.7106947503883522,dimensionless,,,,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn7168,materialized_pre_kd,0,puzzletron_loss_screen,kl_divergence,0.08225044006264566,dimensionless,,,,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn7168,materialized_pre_kd,0,puzzletron_loss_screen,teacher_top1_agreement,0.9574962808922897,fraction,,,,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,puzzletron_loss_screen,lm_loss,0.6234789986126956,dimensionless,,,,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,puzzletron_loss_screen,kl_divergence,0.1319814527291674,dimensionless,,,,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,puzzletron_loss_screen,teacher_top1_agreement,0.9430907117016141,fraction,,,,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,puzzletron_loss_screen,lm_loss,0.6183735333659057,dimensionless,,,,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,puzzletron_loss_screen,kl_divergence,0.20424875003824816,dimensionless,,,,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,puzzletron_loss_screen,teacher_top1_agreement,0.9209672423946992,fraction,,,,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_ffn7168,post_kd,64,puzzletron_loss_screen,lm_loss,0.2757558576753478,dimensionless,,,32,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn7168,post_kd,64,puzzletron_loss_screen,kl_divergence,0.1584947480818971,dimensionless,,,32,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn7168,post_kd,64,puzzletron_loss_screen,teacher_top1_agreement,0.9352470965529771,fraction,,,32,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,
qwen3p5_4b_ffn6144,post_kd,64,puzzletron_loss_screen,lm_loss,0.3352115614746168,dimensionless,,,32,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn6144,post_kd,64,puzzletron_loss_screen,kl_divergence,0.16880379196228956,dimensionless,,,32,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn6144,post_kd,64,puzzletron_loss_screen,teacher_top1_agreement,0.9287619207899488,fraction,,,32,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,
qwen3p5_4b_ffn5120,post_kd,64,puzzletron_loss_screen,lm_loss,0.23811581555370429,dimensionless,,,32,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_ffn5120,post_kd,64,puzzletron_loss_screen,kl_divergence,0.24804774389821968,dimensionless,,,32,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_ffn5120,post_kd,64,puzzletron_loss_screen,teacher_top1_agreement,0.921555715343435,fraction,,,32,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,
qwen3p5_4b_teacher,teacher,,realworldqa,exact_match,0.70,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_teacher,teacher,,realworldqa,standard_error,0.046056618647183814,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_teacher,teacher,,mmmu_val,accuracy,0.42,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,,,,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn7168,post_kd,64,realworldqa,exact_match,0.74,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn7168,post_kd,64,realworldqa,standard_error,0.0440844002276808,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn7168,post_kd,64,mmmu_val,accuracy,0.33,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn6144,post_kd,64,realworldqa,exact_match,0.56,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn6144,post_kd,64,realworldqa,standard_error,0.04988876515698589,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn6144,post_kd,64,mmmu_val,accuracy,0.37,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn5120,post_kd,64,realworldqa,exact_match,0.71,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_56b7819afaa7918f,5120,19.0090,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn5120,post_kd,64,realworldqa,standard_error,0.045604802157206824,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_56b7819afaa7918f,5120,19.0090,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn5120,post_kd,64,mmmu_val,accuracy,0.29,fraction,,,100,,qwen35-vlm-rwqa100-mmmu100-prefix100-x2-v1,,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,architecture_56b7819afaa7918f,5120,19.0090,,,,,,mean_of_two_identical_deterministic_repetitions
qwen3p5_4b_ffn7168,post_kd,64,kd_runtime,peak_memory_per_tp_rank,63.90,GiB,,,,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,,,,,,maximum_observed
qwen3p5_4b_ffn6144,post_kd,64,kd_runtime,peak_memory_per_tp_rank,63.19,GiB,,,,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,,,,,,maximum_observed
qwen3p5_4b_ffn5120,post_kd,64,kd_runtime,peak_memory_per_tp_rank,62.48,GiB,,,,,,,,,architecture_56b7819afaa7918f,5120,19.0090,,,,,,maximum_observed
qwen3p5_4b_ffn7168,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,217.93,tokens_per_second,,,8,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,1,4,8,100,80,
qwen3p5_4b_ffn7168,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,240.26,tokens_per_second,,,8,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,4,4,8,100,80,
qwen3p5_4b_ffn7168,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,199.19,tokens_per_second,,,8,,,,,,architecture_7160bc27bcdc6149,7168,9.5045,8,4,8,100,80,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,224.55,tokens_per_second,,,8,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,1,4,8,100,80,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,253.52,tokens_per_second,,,8,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,4,4,8,100,80,
qwen3p5_4b_ffn6144,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,217.28,tokens_per_second,,,8,,,,,,architecture_26e8c2778b31ebe5,6144,14.2567,8,4,8,100,80,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,237.27,tokens_per_second,,,8,,,,,,architecture_56b7819afaa7918f,5120,19.0090,1,4,8,100,80,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,247.89,tokens_per_second,,,8,,,,,,architecture_56b7819afaa7918f,5120,19.0090,4,4,8,100,80,
qwen3p5_4b_ffn5120,materialized_pre_kd,0,synthetic_vlm_serving,output_tokens_per_second,206.25,tokens_per_second,,,8,,,,,,architecture_56b7819afaa7918f,5120,19.0090,8,4,8,100,80,
